;Populist Message;Populist Message (with controls);Anti-populist Message;Anti-populist Message (with controls)
Biden;-0.214;-0.281;-0.281;-0.441*
;(-0.641, 0.226);(-0.751, 0.204);(-0.663, 0.094);(-0.869, -0.022)
Trump;-0.733***;-0.727***;-0.122;-0.283
;(-1.121, -0.343);(-1.157, -0.297);(-0.464, 0.222);(-0.667, 0.102)
Pty Id.;0.029;-0.043;-0.009;-0.098
;(-0.083, 0.143);(-0.190, 0.104);(-0.100, 0.081);(-0.219, 0.020)
Biden × Pty Id.;-0.437***;-0.444***;-0.491***;-0.496***
;(-0.627, -0.256);(-0.654, -0.244);(-0.662, -0.327);(-0.683, -0.318)
Trump × Pty Id.;0.261**;0.285**;0.380***;0.397***
;(0.098, 0.426);(0.104, 0.468);(0.231, 0.532);(0.233, 0.565)
Income (std);;0.075;;0.139
;;(-0.097, 0.257);;(-0.053, 0.333)
Age (std);;-0.165+;;-0.231**
;;(-0.355, 0.024);;(-0.405, -0.059)
Education (std);;-0.159;;-0.100
;;(-0.351, 0.031);;(-0.283, 0.082)
Race (white);;-0.225;;-0.619**
;;(-0.724, 0.257);;(-1.049, -0.197)
Gender (male);;0.432*;;0.593***
;;(0.062, 0.808);;(0.257, 0.932)
Ideology (std);;0.324**;;0.362**
;;(0.081, 0.573);;(0.140, 0.589)
Num.Obs.;878;780;834;727
AIC;943.3;802.4;1060.4;882.8
BIC;972.0;858.3;1088.8;937.9
Log.Lik.;-465.653;-389.218;-524.216;-429.400
F;16.390;7.890;17.667;10.051
RMSE;1.03;1.01;1.13;1.10
Std.Errors;Classical;Classical;Classical;Classical
+ p < 0.1, * p < 0.05, ** p < 0.01, *** p < 0.001;;;;
