;Pop-Dem;Pop-Dem (with controls);APop-Dem;APop-Dem (with controls)
Cue: Biden;-0.228;-0.135;-0.202;-0.196
;(-0.816, 0.361);(-0.759, 0.490);(-0.767, 0.362);(-0.757, 0.365)
Cue: Trump;-0.075;0.040;-0.147;-0.052
;(-0.614, 0.463);(-0.525, 0.606);(-0.706, 0.412);(-0.610, 0.506)
Income (std);;-0.154;;0.082
;;(-0.394, 0.086);;(-0.154, 0.319)
Age (std);;-0.411**;;-0.380**
;;(-0.684, -0.137);;(-0.619, -0.140)
Education (std);;0.149;;0.079
;;(-0.110, 0.409);;(-0.170, 0.327)
Race (white);;-0.058;;0.002
;;(-0.623, 0.507);;(-0.501, 0.504)
Gender (male);;-0.066;;0.038
;;(-0.584, 0.452);;(-0.440, 0.517)
Ideology (std);;-0.727***;;-0.833***
;;(-0.996, -0.458);;(-1.090, -0.576)
Num.Obs.;398;346;377;336
R2;0.001;0.108;0.001;0.136
R2 Adj.;-0.004;0.087;-0.004;0.115
AIC;1816.1;1567.6;1701.0;1474.2
BIC;1832.1;1606.1;1716.7;1512.3
Log.Lik.;-904.069;-773.807;-846.481;-727.075
F;0.291;5.092;0.274;6.444
RMSE;2.35;2.29;2.29;2.14
Std.Errors;Classical;Classical;Classical;Classical
+ p < 0.1, * p < 0.05, ** p < 0.01, *** p < 0.001;;;;
