;Pop-Dem;Pop-Dem (with controls);APop-Dem;APop-Dem (with controls)
Cue: Biden;-0.007;-0.004;-0.005;-0.005
;(-0.048, 0.034);(-0.047, 0.039);(-0.044, 0.035);(-0.044, 0.035)
Cue: Trump;0.000;0.010;-0.012;-0.002
;(-0.038, 0.037);(-0.030, 0.049);(-0.051, 0.027);(-0.041, 0.037)
Income (std);;-0.011;;0.008
;;(-0.028, 0.006);;(-0.009, 0.024)
Age (std);;-0.036***;;-0.030***
;;(-0.055, -0.017);;(-0.047, -0.014)
Education (std);;0.008;;0.004
;;(-0.010, 0.026);;(-0.014, 0.021)
Race (white);;-0.004;;0.012
;;(-0.043, 0.035);;(-0.023, 0.048)
Gender (male);;-0.010;;0.004
;;(-0.046, 0.026);;(-0.030, 0.038)
Ideology (std);;-0.053***;;-0.059***
;;(-0.072, -0.035);;(-0.077, -0.041)
Num.Obs.;398;346;377;336
R2;0.000;0.131;0.001;0.144
R2 Adj.;-0.005;0.110;-0.004;0.123
AIC;-304.4;-280.9;-310.0;-307.2
BIC;-288.5;-242.4;-294.2;-269.0
Log.Lik.;156.216;150.442;158.980;163.610
F;0.060;6.326;0.184;6.863
RMSE;0.16;0.16;0.16;0.15
Std.Errors;Classical;Classical;Classical;Classical
+ p < 0.1, * p < 0.05, ** p < 0.01, *** p < 0.001;;;;
