;Pop-Dem;Pop-Dem (with controls);APop-Dem;APop-Dem (with controls)
Cue: Biden;0.988*;0.753;0.978***;0.797*
;(0.170, 1.933);(-0.115, 1.732);(0.435, 1.543);(0.180, 1.436)
Cue: Trump;-1.528***;-1.612***;-1.075***;-1.380***
;(-2.069, -1.008);(-2.235, -1.018);(-1.592, -0.572);(-1.989, -0.795)
Income (std);;0.023;;0.130
;;(-0.236, 0.305);;(-0.126, 0.392)
Age (std);;-0.275+;;-0.258*
;;(-0.589, 0.032);;(-0.517, -0.003)
Education (std);;-0.319*;;-0.274*
;;(-0.625, -0.023);;(-0.545, -0.005)
Race (white);;0.193;;-0.339
;;(-0.480, 0.864);;(-0.892, 0.206)
Gender (male);;0.779*;;0.827**
;;(0.184, 1.397);;(0.314, 1.350)
Ideology (std);;0.296+;;0.451**
;;(-0.026, 0.630);;(0.166, 0.750)
Num.Obs.;398;346;377;336
AIC;392.5;330.9;470.7;391.2
BIC;404.5;365.5;482.5;425.5
Log.Lik.;-193.255;-156.463;-232.333;-186.591
F;26.438;6.875;23.597;7.788
RMSE;0.99;0.96;1.11;1.07
Std.Errors;Classical;Classical;Classical;Classical
+ p < 0.1, * p < 0.05, ** p < 0.01, *** p < 0.001;;;;
